,geo_id,county_name,area_sqmi,pop_est_2015,hotels,bars
0,1001,"Autauga County, AL",594.439,55347,9.5,2.5
1,1003,"Baldwin County, AL",1589.808,203709,85.0,36.0
2,1005,"Barbour County, AL",884.877,26489,12.0,2.5
3,1007,"Bibb County, AL",622.5830000000002,22583,2.5,2.5
4,1009,"Blount County, AL",644.807,57673,5.0,2.5
5,1011,"Bullock County, AL",622.806,10696,2.5,4.0
6,1013,"Butler County, AL",776.828,20154,10.0,4.0
7,1015,"Calhoun County, AL",605.889,115620,35.0,10.0
8,1017,"Chambers County, AL",596.531,34123,4.5,6.0
9,1019,"Cherokee County, AL",553.72,25859,7.0,4.0
10,1021,"Chilton County, AL",692.8539999999998,43943,9.0,7.0
11,1023,"Choctaw County, AL",913.5,13170,6.0,2.5
12,1025,"Clarke County, AL",1238.466,24675,11.0,2.5
13,1027,"Clay County, AL",603.961,13555,2.5,2.5
14,1029,"Cleburne County, AL",560.105,15018,2.5,2.5
15,1031,"Coffee County, AL",678.9860000000001,51211,15.0,3.5
16,1033,"Colbert County, AL",592.62,54354,11.5,6.0
17,1035,"Conecuh County, AL",850.1569999999998,12672,6.0,4.0
18,1037,"Coosa County, AL",650.9259999999998,10724,4.0,4.0
19,1039,"Covington County, AL",1030.457,37835,13.0,7.0
20,1041,"Crenshaw County, AL",608.84,13963,2.5,2.5
21,1043,"Cullman County, AL",734.898,82005,20.0,4.0
22,1045,"Dale County, AL",561.15,49565,10.0,10.0
23,1047,"Dallas County, AL",978.695,41131,16.0,8.0
24,1049,"DeKalb County, AL",777.0939999999998,71130,14.0,4.0
25,1051,"Elmore County, AL",618.488,81468,9.5,6.0
26,1053,"Escambia County, AL",945.08,37789,11.0,4.0
27,1055,"Etowah County, AL",535.284,103057,17.5,11.0
28,1057,"Fayette County, AL",627.684,16759,2.5,4.0
29,1059,"Franklin County, AL",633.817,31696,8.0,2.5
30,1061,"Geneva County, AL",574.408,26777,2.5,4.0
31,1063,"Greene County, AL",647.105,8479,5.0,4.0
32,1065,"Hale County, AL",643.943,15068,2.5,2.5
33,1067,"Henry County, AL",561.75,17221,2.5,2.5
34,1069,"Houston County, AL",579.826,104173,33.0,25.0
35,1071,"Jackson County, AL",1077.867,52419,14.0,4.0
36,1073,"Jefferson County, AL",1111.279,660367,149.0,92.0
